borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,supported_rate,total_schooldays,presence_rate,absence_rate,release_rate,mean_score_math,mean_score_ela,diversity_index
Bronx,07X500,Melrose S.-Mott Haven N.,X,7,Hostos-Lincoln Academy of Science,2006,534,60.7,39.3,3.7,22.8,72.5,0.7999999999999972,0.2,8.1,4.5,66.3,186.0,84.15,10.19,5.66,203.8,205.8,42.095400000000005
Bronx,07X551,Mott Haven-Port Morris,X,7,The Urban Assembly Bronx Academy of Letters,2006,314,65.3,34.7,2.5,37.3,58.9,1.0000000000000142,0.3,10.2,6.4,71.9,170.0,91.35,8.33,0.0,200.89999999999998,202.17222222222222,51.321600000000004
Bronx,08X071,Pelham Bay,X,8,P.S. 071 Rose E. Scala,2006,1409,49.5,50.5,5.0,5.0,45.4,2.4000000000000057,42.2,16.3,4.3,53.7,186.0,91.84,7.81,0.21,240.4,230.15,61.0224
Bronx,08X101,Throgs Neck,X,8,M.S. X101 Edward R. Byrne,2006,584,47.1,52.9,8.9,21.1,55.1,0.5,14.4,0.9,8.542857142857143,63.8,186.0,94.66,5.16,0.0,254.35,254.15,62.31959999999999
Bronx,08X123,Soundview,X,8,J.H.S. 123 James M. Kieran,2006,550,47.6,52.4,0.4,34.4,64.2,0.5,0.5,17.6,17.3,90.2,186.0,88.57,11.25,0.0,204.45,201.45,46.94339999999999
Bronx,08X131,Soundview,X,8,J.H.S. 131 Albert Einstein,2006,1180,49.9,50.1,2.5,42.0,54.7,0.3999999999999915,0.4,16.1,2.4,82.7,186.0,90.07,9.93,0.0,212.15,215.2,52.37339999999999
Bronx,08X269,Hunts Point,X,8,Bronx Studio School for Writers and Artists,2006,195,51.8,48.2,0.5,29.7,69.2,0.5999999999999943,0.0,6.7,8.7,95.4,186.0,90.27857142857144,,,203.3,208.65,43.286599999999986
Bronx,08X301,Morrisania,X,8,M.S. 301 Paul L. Dunbar,2006,431,48.5,51.5,1.4,40.8,56.6,0.2999999999999972,0.9,26.7,8.6,89.6,186.0,87.59,12.41,0.0,189.15,192.6,51.28939999999999
Bronx,08X302,Longwood,X,8,M.S. 302 Luisa Dessus Cruz,2006,918,48.1,51.9,0.4,20.6,77.2,0.5999999999999943,1.2,18.4,15.5,95.5,186.0,88.08,11.92,0.0,206.95,206.1,36.13839999999999
Bronx,08X337,Soundview,X,8,The School for Inquiry and Social Justice,2006,269,50.9,49.1,1.1,41.6,54.6,1.1999999999999886,1.5,12.6,3.0,79.1,186.0,91.14,8.86,0.0,217.2,216.35,52.8338
