borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,diversity_index
Manhattan,06M463,Washington Heights N.,M,6,High School for Media and Communications,2006,625,41.6,58.4,0.5,5.8,92.6,0.9000000000000057,0.2,10.9,25.3,87.4,170.0,85.04,14.8,0.0,258.0,70.93,12.02,13.905000000000012
Manhattan,06M467,Washington Heights N.,M,6,High School for Law and Public Service,2006,633,48.0,52.0,0.5,4.7,94.0,0.20000000000000284,0.6,10.3,23.5,92.3,170.0,87.13,12.7,0.0,298.0,71.14,11.41,11.412600000000007
Manhattan,06M468,Washington Heights N.,M,6,High School for Health Careers and Sciences,2006,655,48.2,51.8,0.5,6.4,91.9,0.5999999999999943,0.6,13.3,22.7,79.9,170.0,86.53,13.47,0.0,261.0,63.6,18.77,15.124599999999988
Manhattan,06M540,Manhattanville,M,6,A. Philip Randolph Campus High School,2006,1541,55.1,44.9,3.0,31.4,62.0,2.799999999999997,0.8,7.2,2.9,67.1,172.0,85.28,12.91,1.74,597.0,67.67,16.92,51.5256
Manhattan,06M552,Washington Heights S.,M,6,Gregorio Luperon High School for Science and Mathematics,2006,415,53.7,46.3,0.0,0.0,100.0,0.0,0.0,0.2,46.7,96.3,172.0,87.62,11.63,0.5,154.0,60.39,18.18,0.0
Bronx,07X221,Mott Haven-Port Morris,X,7,South Bronx Preparatory: A College Board School,2006,508,53.9,46.1,1.0,34.1,63.0,1.5,0.4,17.1,3.3,87.8,186.0,84.43,10.38,4.99,,,,48.64779999999998
Bronx,07X223,Mott Haven-Port Morris,X,7,M.S. 223 The Laboratory School of Finance and Tech,2006,469,49.3,50.7,0.2,26.2,72.7,0.7000000000000028,0.2,15.4,16.4,95.3,186.0,90.87,8.92,0.0,,,,40.27700000000001
Bronx,07X334,Mott Haven-Port Morris,X,7,International Community High School,2006,97,43.3,56.7,3.1,23.7,69.1,2.000000000000014,2.1,0.0,40.2,60.0,,,,,,,,46.454800000000006
Bronx,07X427,West Concourse,X,7,Community School for Social Justice,2006,367,55.3,44.7,0.3,36.5,61.0,1.7000000000000028,0.5,11.7,4.1,87.5,170.0,82.23,17.77,0.0,64.0,54.69,1.56,49.4352
Bronx,07X473,Melrose S.-Mott Haven N.,X,7,Mott Haven Village Preparatory High School,2006,331,48.6,51.4,0.6,32.6,66.5,0.2999999999999972,0.0,16.3,7.3,71.8,176.0,82.04,15.48,1.86,76.0,71.05,2.63,45.14539999999999
Bronx,07X495,Melrose S.-Mott Haven N.,X,7,University Heights Secondary School,2006,440,52.5,47.5,0.2,25.7,72.5,1.0999999999999943,0.5,10.2,5.7,87.1,168.0,87.3,12.7,0.0,155.0,69.03,20.0,40.8176
Bronx,07X500,Melrose S.-Mott Haven N.,X,7,Hostos-Lincoln Academy of Science,2006,534,60.7,39.3,3.7,22.8,72.5,0.7999999999999972,0.2,8.1,4.5,66.3,186.0,84.15,10.19,5.66,191.0,88.48,2.09,42.095400000000005
Bronx,07X527,E. Concourse-Concourse Village,X,7,Bronx Leadership Academy II High School,2006,402,54.0,46.0,0.7,41.8,46.0,10.0,1.5,11.7,5.7,68.2,,,,,52.0,0.0,0.0,60.340199999999996
Bronx,07X548,E. Concourse-Concourse Village,X,7,Urban Assembly School for Careers in Sports,2006,322,21.7,78.3,0.6,31.7,66.1,0.4000000000000057,1.2,9.3,1.2,68.8,170.0,87.46,12.22,0.0,151.0,80.13,1.32,46.23940000000001
Bronx,07X551,Mott Haven-Port Morris,X,7,The Urban Assembly Bronx Academy of Letters,2006,314,65.3,34.7,2.5,37.3,58.9,1.0000000000000142,0.3,10.2,6.4,71.9,170.0,91.35,8.33,0.0,1.0,0.0,0.0,51.321600000000004
Bronx,07X600,Melrose S.-Mott Haven N.,X,7,Alfred E. Smith Career and Technical Education Hig,2006,1258,13.9,86.1,2.1,32.8,63.3,0.9000000000000057,0.9,19.2,7.5,79.4,170.0,74.34,25.58,0.0,492.0,48.17,32.72,49.1124
Bronx,07X670,West Concourse,X,7,Health Opportunities High School,2006,586,73.5,26.5,1.4,40.3,54.6,2.5,1.2,10.8,4.1,73.7,170.0,83.63,16.37,0.0,230.0,71.3,9.13,53.851000000000006
Bronx,08X269,Hunts Point,X,8,Bronx Studio School for Writers and Artists,2006,195,51.8,48.2,0.5,29.7,69.2,0.5999999999999943,0.0,6.7,8.7,95.4,,,,,,,,43.286599999999986
Bronx,08X282,Castle Hill-Clason Point,X,8,Women's Academy of Excellence,2006,243,99.6,0.4,2.5,53.9,40.7,2.5,0.4,7.0,2.1,59.7,186.0,88.75,9.58,1.67,1.0,0.0,0.0,54.25639999999999
Bronx,08X293,Schuylerville-Throgs Neck,X,8,Renaissance High School for Musical Theater & Technology,2006,370,67.8,32.2,1.9,32.2,58.4,2.5999999999999943,4.9,11.9,3.5,65.9,170.0,83.29,16.71,0.0,3.0,0.0,0.0,55.1822
Bronx,08X312,Castle Hill-Clason Point,X,8,Millennium Art Academy,2006,356,43.0,57.0,2.0,39.0,53.9,2.299999999999997,2.8,13.2,5.6,92.8,169.0,93.16,6.84,0.0,1.0,0.0,0.0,55.5666
Bronx,08X405,Schuylerville-Throgs Neck,X,8,Herbert H. Lehman High School,2006,4288,43.1,56.9,6.1,23.4,55.5,3.200000000000003,11.8,14.5,6.1,62.0,170.0,81.25,18.61,0.12,1832.0,57.42,14.9,61.85499999999999
Bronx,08X452,Castle Hill-Clason Point,X,8,Bronx Guild,2006,300,50.0,50.0,2.0,44.0,51.3,1.0,1.7,17.0,5.7,64.5,170.0,78.97,20.69,0.0,85.0,54.12,1.18,54.2442
