BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
X123,2007,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.6
X194,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.4
X337,2007,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.67,2.0,2.8
X062,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X068,2007,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
X075,2007,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.67,2.0,2.4
X152,2007,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
X178,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
X182,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.2
X214,2007,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.33,2.0,1.6
X061,2007,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.33,3.0,3.2
X087,2007,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.33,1.0,1.6
X127,2007,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.33,3.0,3.2
K381,2007,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.33,1.0,1.2
X006,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X047,2007,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.4
X078,2007,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.8
X092,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X105,2007,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
